Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
2020-05-31,Germany,183410,8540,165352.0,9518.0,221,10,444
2020-06-01,Germany,183594,8555,165632.0,9407.0,184,15,280
2020-06-02,Germany,183879,8563,166609.0,8707.0,285,8,977
2020-06-03,Germany,184121,8602,167453.0,8066.0,242,39,844
2020-06-04,Germany,184472,8635,167909.0,7928.0,351,33,456
2020-06-05,Germany,184924,8658,168480.0,7786.0,452,23,571
2020-06-06,Germany,185450,8673,168958.0,7819.0,526,15,478
2020-06-07,Germany,185750,8685,169224.0,7841.0,300,12,266
2020-06-08,Germany,186109,8695,169556.0,7858.0,359,10,332
2020-06-09,Germany,186506,8736,170129.0,7641.0,397,41,573
2020-06-10,Germany,186522,8752,170630.0,7140.0,16,16,501
2020-06-11,Germany,186691,8772,170961.0,6958.0,169,20,331
2020-06-12,Germany,187226,8783,171535.0,6908.0,535,11,574
2020-06-13,Germany,187267,8793,171970.0,6504.0,41,10,435
2020-06-14,Germany,187518,8801,172089.0,6628.0,251,8,119
2020-06-15,Germany,187682,8807,172692.0,6183.0,164,6,603
2020-06-16,Germany,188252,8820,172842.0,6590.0,570,13,150
2020-06-17,Germany,188604,8851,173599.0,6154.0,352,31,757
2020-06-18,Germany,189817,8875,173847.0,7095.0,1213,24,248
2020-06-19,Germany,190299,8887,173972.0,7440.0,482,12,125
2020-06-20,Germany,190670,8895,174609.0,7166.0,371,8,637
2020-06-21,Germany,191272,8895,174740.0,7637.0,602,0,131
2020-06-22,Germany,191768,8899,175143.0,7726.0,496,4,403
2020-06-23,Germany,192480,8914,175825.0,7741.0,712,15,682
2020-06-24,Germany,192871,8928,176422.0,7521.0,391,14,597
2020-06-25,Germany,193371,8940,176764.0,7667.0,500,12,342
2020-06-26,Germany,194036,8965,177149.0,7922.0,665,25,385
2020-06-27,Germany,194458,8968,177518.0,7972.0,422,3,369
2020-06-28,Germany,194693,8968,177657.0,8068.0,235,0,139
2020-06-29,Germany,195042,8976,177770.0,8296.0,349,8,113
2020-06-30,Germany,195418,8990,178100.0,8328.0,376,14,330
2020-07-01,Germany,195893,8995,179100.0,7798.0,475,5,1000
2020-07-02,Germany,196370,9006,179800.0,7564.0,477,11,700
2020-07-03,Germany,196780,9010,180300.0,7470.0,410,4,500
2020-07-04,Germany,197198,9020,181000.0,7178.0,418,10,700
2020-07-05,Germany,197523,9023,181719.0,6781.0,325,3,719
2020-07-06,Germany,198064,9022,182160.0,6882.0,541,-1,441
2020-07-07,Germany,198343,9032,182661.0,6650.0,279,10,501
2020-07-08,Germany,198699,9046,183153.0,6500.0,356,14,492
2020-07-09,Germany,199001,9057,183728.0,6216.0,302,11,575
2020-07-10,Germany,199332,9063,184028.0,6241.0,331,6,300
2020-07-11,Germany,199709,9070,184266.0,6373.0,377,7,238
2020-07-12,Germany,199919,9071,184414.0,6434.0,210,1,148
2020-07-13,Germany,200180,9074,185100.0,6006.0,261,3,686
2020-07-14,Germany,200456,9078,185100.0,6278.0,276,4,0
2020-07-15,Germany,200890,9080,186000.0,5810.0,434,2,900
2020-07-16,Germany,201450,9087,186400.0,5963.0,560,7,400
2020-07-17,Germany,202045,9088,186900.0,6057.0,595,1,500
2020-07-18,Germany,202426,9091,187200.0,6135.0,381,3,300
2020-07-19,Germany,202735,9092,187400.0,6243.0,309,1,200
2020-07-20,Germany,203325,9094,188070.0,6161.0,590,2,670
2020-07-21,Germany,203717,9099,188221.0,6397.0,392,5,151
2020-07-22,Germany,204276,9102,188628.0,6546.0,559,3,407
2020-07-23,Germany,204881,9110,189140.0,6631.0,605,8,512
2020-07-24,Germany,205623,9120,189696.0,6807.0,742,10,556
2020-07-25,Germany,206278,9124,189919.0,7235.0,655,4,223
2020-07-26,Germany,206667,9124,190055.0,7488.0,389,0,136
2020-07-27,Germany,207112,9125,190314.0,7673.0,445,1,259
2020-07-28,Germany,207707,9131,190711.0,7865.0,595,6,397
2020-07-29,Germany,208546,9135,191279.0,8132.0,839,4,568
2020-07-30,Germany,209535,9144,191551.0,8840.0,989,9,272
2020-07-31,Germany,210399,9147,191992.0,9260.0,864,3,441
2020-08-01,Germany,211005,9154,192636.0,9215.0,606,7,644
2020-08-02,Germany,211220,9154,192908.0,9158.0,215,0,272
2020-08-03,Germany,212111,9154,193594.0,9363.0,891,0,686
2020-08-04,Germany,212828,9163,194173.0,9492.0,717,9,579
2020-08-05,Germany,214113,9179,194568.0,10366.0,1285,16,395
2020-08-06,Germany,215039,9181,195281.0,10577.0,926,2,713
2020-08-07,Germany,216196,9195,195935.0,11066.0,1157,14,654
2020-08-08,Germany,216903,9201,196550.0,11152.0,707,6,615
2020-08-09,Germany,217288,9202,196783.0,11303.0,385,1,233
2020-08-10,Germany,218508,9203,197382.0,11923.0,1220,1,599
2020-08-11,Germany,219540,9208,198347.0,11985.0,1032,5,965
2020-08-12,Germany,220859,9213,198991.0,12655.0,1319,5,644
2020-08-13,Germany,222281,9217,199654.0,13410.0,1422,4,663
2020-08-14,Germany,223791,9230,200440.0,14121.0,1510,13,786
2020-08-15,Germany,224488,9235,200756.0,14497.0,697,5,316
2020-08-16,Germany,225007,9235,201187.0,14585.0,519,0,431
2020-08-17,Germany,226700,9236,202249.0,15215.0,1693,1,1062
2020-08-18,Germany,228120,9241,203677.0,15202.0,1420,5,1428
2020-08-19,Germany,229706,9249,204454.0,16003.0,1586,8,777
2020-08-20,Germany,231292,9263,205359.0,16670.0,1586,14,905
2020-08-21,Germany,233029,9266,206656.0,17107.0,1737,3,1297
2020-08-22,Germany,233861,9272,207606.0,16983.0,832,6,950
2020-08-23,Germany,234494,9275,207985.0,17234.0,633,3,379
2020-08-24,Germany,236122,9276,208653.0,18193.0,1628,1,668
2020-08-25,Germany,237583,9281,210333.0,17969.0,1461,5,1680
2020-08-26,Germany,239010,9285,211691.0,18034.0,1427,4,1358
2020-08-27,Germany,240571,9290,212909.0,18372.0,1561,5,1218
2020-08-28,Germany,242126,9290,214186.0,18650.0,1555,0,1277
2020-08-29,Germany,242835,9299,214790.0,18746.0,709,9,604
2020-08-30,Germany,243305,9300,215283.0,18722.0,470,1,493
2020-08-31,Germany,244802,9303,216795.0,18704.0,1497,3,1512
2020-09-01,Germany,246015,9307,218403.0,18305.0,1213,4,1608
2020-09-02,Germany,247411,9322,219904.0,18185.0,1396,15,1501
2020-09-03,Germany,248840,9322,221525.0,17993.0,1429,0,1621
2020-09-04,Germany,250283,9327,222802.0,18154.0,1443,5,1277
2020-09-05,Germany,251058,9329,223570.0,18159.0,775,2,768
2020-09-06,Germany,251728,9330,224215.0,18183.0,670,1,645
2020-09-07,Germany,253626,9331,225704.0,18591.0,1898,1,1489
2020-09-08,Germany,254957,9336,227379.0,18242.0,1331,5,1675
2020-09-09,Germany,256433,9342,228784.0,18307.0,1476,6,1405
2020-09-10,Germany,258149,9345,230283.0,18521.0,1716,3,1499
2020-09-11,Germany,259735,9348,231349.0,19038.0,1586,3,1066
2020-09-12,Germany,260817,9352,231953.0,19512.0,1082,4,604
2020-09-13,Germany,261737,9354,232541.0,19842.0,920,2,588
2020-09-14,Germany,263222,9356,234017.0,19849.0,1485,2,1476
2020-09-15,Germany,265014,9367,235112.0,20535.0,1792,11,1095
2020-09-16,Germany,266869,9373,236623.0,20873.0,1855,6,1511
2020-09-17,Germany,269048,9376,238437.0,21235.0,2179,3,1814
2020-09-18,Germany,271247,9386,239654.0,22207.0,2199,10,1217
2020-09-19,Germany,272932,9388,240510.0,23034.0,1685,2,856
2020-09-20,Germany,273965,9390,241192.0,23383.0,1033,2,682
2020-09-21,Germany,275560,9390,242656.0,23514.0,1595,0,1464
2020-09-22,Germany,277412,9405,244693.0,23314.0,1852,15,2037
2020-09-23,Germany,279025,9423,245706.0,23896.0,1613,18,1013
2020-09-24,Germany,281346,9436,247766.0,24144.0,2321,13,2060
2020-09-25,Germany,283712,9451,249164.0,25097.0,2366,15,1398
2020-09-26,Germany,285026,9459,250104.0,25463.0,1314,8,940
2020-09-27,Germany,286339,9464,250866.0,26009.0,1313,5,762
2020-09-28,Germany,288631,9468,252693.0,26470.0,2292,4,1827
2020-09-29,Germany,290471,9483,255212.0,25776.0,1840,15,2519
2020-09-30,Germany,292913,9495,256861.0,26557.0,2442,12,1649
2020-10-01,Germany,295539,9509,258220.0,27810.0,2626,14,1359
2020-10-02,Germany,298374,9518,259722.0,29134.0,2835,9,1502
2020-10-03,Germany,300027,9531,260916.0,29580.0,1653,13,1194
2020-10-04,Germany,301573,9533,262002.0,30038.0,1546,2,1086
2020-10-05,Germany,304673,9554,265624.0,29495.0,3100,21,3622
2020-10-06,Germany,307127,9566,267747.0,29814.0,2454,12,2123
2020-10-07,Germany,311137,9582,269722.0,31833.0,4010,16,1975
2020-10-08,Germany,315941,9594,271960.0,34387.0,4804,12,2238
2020-10-09,Germany,320495,9599,273718.0,37178.0,4554,5,1758
2020-10-10,Germany,323463,9620,274934.0,38909.0,2968,21,1216
2020-10-11,Germany,326309,9626,276983.0,39700.0,2846,6,2049
2020-10-12,Germany,332850,9640,278391.0,44819.0,6541,14,1408
2020-10-13,Germany,337314,9682,280533.0,47099.0,4464,42,2142
2020-10-14,Germany,344487,9716,283656.0,51115.0,7173,34,3123
2020-10-15,Germany,352107,9739,286137.0,56231.0,7620,23,2481
2020-10-16,Germany,359802,9773,289027.0,61002.0,7695,34,2890
2020-10-17,Germany,364664,9785,291129.0,63750.0,4862,12,2102
2020-10-18,Germany,368671,9798,293447.0,65426.0,4007,13,2318
2020-10-19,Germany,377068,9842,296672.0,70554.0,8397,44,3225
2020-10-20,Germany,385591,9882,299743.0,75966.0,8523,40,3071
2020-10-21,Germany,397922,9911,304173.0,83838.0,12331,29,4430
2020-10-22,Germany,403874,9960,308779.0,85135.0,5952,49,4606
2020-10-23,Germany,417350,9978,312347.0,95025.0,13476,18,3568
2020-10-24,Germany,427808,10035,316124.0,101649.0,10458,57,3777
2020-10-25,Germany,437698,10062,320004.0,107632.0,9890,27,3880
2020-10-26,Germany,450258,10091,325052.0,115115.0,12560,29,5048
2020-10-27,Germany,463419,10121,327697.0,125601.0,13161,30,2645
2020-10-28,Germany,479621,10218,336764.0,132639.0,16202,97,9067
2020-10-29,Germany,498354,10305,340436.0,147613.0,18733,87,3672
2020-10-30,Germany,517736,10391,351921.0,155424.0,19382,86,11485
2020-10-31,Germany,531790,10483,356410.0,164897.0,14054,92,4489
2020-11-01,Germany,544346,10513,363545.0,170288.0,12556,30,7135
2020-11-02,Germany,569598,10669,372499.0,186430.0,25252,156,8954
2020-11-03,Germany,577131,10717,373391.0,193023.0,7533,48,892
2020-11-04,Germany,608611,10949,384012.0,213650.0,31480,232,10621
2020-11-05,Germany,631172,11110,394616.0,225446.0,22561,161,10604
2020-11-06,Germany,653992,11240,405809.0,236943.0,22820,130,11193
2020-11-07,Germany,668114,11306,413484.0,243324.0,14122,66,7675
2020-11-08,Germany,682624,11372,421151.0,250101.0,14510,66,7667
2020-11-09,Germany,689146,11408,443621.0,234117.0,6522,36,22470
2020-11-10,Germany,715693,11781,446402.0,257510.0,26547,373,2781
2020-11-11,Germany,738094,11994,460504.0,265596.0,22401,213,14102
2020-11-12,Germany,762832,12216,474208.0,276408.0,24738,222,13704
2020-11-13,Germany,785093,12404,487913.0,284776.0,22261,188,13705
2020-11-14,Germany,799733,12511,498996.0,288226.0,14640,107,11083
2020-11-15,Germany,802946,12573,505714.0,284659.0,3213,62,6718
2020-11-16,Germany,817526,12833,522313.0,282380.0,14580,260,16599
2020-11-17,Germany,843757,13138,537347.0,293272.0,26231,305,15034
2020-11-18,Germany,867484,13390,554272.0,299822.0,23727,252,16925
2020-11-19,Germany,891525,13662,570961.0,306902.0,24041,272,16689
2020-11-20,Germany,914118,13918,587780.0,312420.0,22593,256,16819
2020-11-21,Germany,927990,14061,600991.0,312938.0,13872,143,13211
2020-11-22,Germany,932367,14159,611627.0,306581.0,4377,98,10636
2020-11-23,Germany,946822,14460,630375.0,301987.0,14455,301,18748
2020-11-24,Germany,963192,14832,649070.0,299290.0,16370,372,18695
2020-11-25,Germany,995879,15210,666373.0,314296.0,32687,378,17303
2020-11-26,Germany,1017830,15640,685537.0,316653.0,21951,430,19164
2020-11-27,Germany,1038649,16011,705213.0,317425.0,20819,371,19676
2020-11-28,Germany,1052494,16181,718604.0,317709.0,13845,170,13391
2020-11-29,Germany,1055691,16306,730797.0,308588.0,3197,125,12193
2020-11-30,Germany,1069912,16694,749219.0,303999.0,14221,388,18422
2020-12-01,Germany,1094678,17177,769380.0,308121.0,24766,483,20161
2020-12-02,Germany,1117953,17659,789564.0,310730.0,23275,482,20184
2020-12-03,Germany,1141544,18097,811091.0,312356.0,23591,438,21527
2020-12-04,Germany,1157514,18577,831935.0,307002.0,15970,480,20844
2020-12-05,Germany,1183640,18839,852580.0,312221.0,26126,262,20645
2020-12-06,Germany,1194550,18989,868285.0,307276.0,10910,150,15705
2020-12-07,Germany,1200006,19434,888701.0,291871.0,5456,445,20416
2020-12-08,Germany,1229269,20002,909058.0,300209.0,29263,568,20357
2020-12-09,Germany,1254358,20460,929272.0,304626.0,25089,458,20214
2020-12-10,Germany,1287092,21064,949913.0,316115.0,32734,604,20641
2020-12-11,Germany,1314309,21567,966238.0,326504.0,27217,503,16325
2020-12-12,Germany,1336101,21900,975931.0,338270.0,21792,333,9693
2020-12-13,Germany,1350810,22106,990707.0,337997.0,14709,206,14776
2020-12-14,Germany,1357261,22634,1012077.0,322550.0,6451,528,21370
2020-12-15,Germany,1391086,23544,1031721.0,335821.0,33825,910,19644
2020-12-16,Germany,1423830,24273,1056477.0,343080.0,32744,729,24756
2020-12-17,Germany,1454009,25027,1078944.0,350038.0,30179,754,22467
2020-12-18,Germany,1486839,25754,1095982.0,365103.0,32830,727,17038
2020-12-19,Germany,1508518,26171,1107115.0,375232.0,21679,417,11133
2020-12-20,Germany,1514962,26400,1123725.0,364837.0,6444,229,16610
2020-12-21,Germany,1534218,27110,1147943.0,359165.0,19256,710,24218
2020-12-22,Germany,1570371,28096,1171444.0,370831.0,36153,986,23501
2020-12-23,Germany,1604129,28909,1197472.0,377748.0,33758,813,26028
2020-12-24,Germany,1630596,29330,1220277.0,380989.0,26467,421,22805
2020-12-25,Germany,1632736,29580,1235968.0,367188.0,2140,250,15691
2020-12-26,Germany,1646240,29946,1253285.0,363009.0,13504,366,17317
2020-12-27,Germany,1658639,30297,1272032.0,356310.0,12399,351,18747
2020-12-28,Germany,1672643,31145,1294932.0,346566.0,14004,848,22900
2020-12-29,Germany,1692109,32267,1319757.0,340085.0,19466,1122,24825
2020-12-30,Germany,1741153,33230,1345952.0,361971.0,49044,963,26195
2020-12-31,Germany,1760520,33791,1350708.0,376021.0,19367,561,4756
2021-01-01,Germany,1762637,34145,1388744.0,339748.0,2117,354,38036
2021-01-02,Germany,1773540,34480,1400810.0,338250.0,10903,335,12066
2021-01-03,Germany,1783896,34791,1422151.0,326954.0,10356,311,21341
2021-01-04,Germany,1796216,35748,1445442.0,315026.0,12320,957,23291
2021-01-05,Germany,1814565,36757,1472311.0,305497.0,18349,1009,26869
2021-01-06,Germany,1841228,37835,1496182.0,307211.0,26663,1078,23871
2021-01-07,Germany,1886561,38987,1517019.0,330555.0,45333,1152,20837
2021-01-08,Germany,1905638,40022,1533143.0,332473.0,19077,1035,16124
2021-01-09,Germany,1928462,40597,1546206.0,341659.0,22824,575,13063
2021-01-10,Germany,1929410,40936,1566907.0,321567.0,948,339,20701
2021-01-11,Germany,1941116,41799,1590171.0,309146.0,11706,863,23264
2021-01-12,Germany,1968326,42889,1616761.0,308676.0,27210,1090,26590
2021-01-13,Germany,1993892,44096,1640682.0,309114.0,25566,1207,23921
2021-01-14,Germany,2015235,45207,1661394.0,308634.0,21343,1111,20712
2021-01-15,Germany,2023828,45705,1664176.0,313947.0,8593,498,2782
2021-01-16,Germany,2038645,46464,1680479.0,311702.0,14817,759,16303
2021-01-17,Germany,2050129,46901,1709540.0,293688.0,11484,437,29061
2021-01-18,Germany,2059382,47263,1713196.0,298923.0,9253,362,3656
2021-01-19,Germany,2071615,48997,1757713.0,264905.0,12233,1734,44517
2021-01-20,Germany,2100618,50010,1778319.0,272289.0,29003,1013,20606
2021-01-21,Germany,2108895,50876,1797648.0,260371.0,8277,866,19329
2021-01-22,Germany,2125261,51713,1813894.0,259654.0,16366,837,16246
2021-01-23,Germany,2137691,51873,1826161.0,259657.0,12430,160,12267
2021-01-24,Germany,2147769,52296,1840970.0,254503.0,10078,423,14809
2021-01-25,Germany,2154656,53127,1859936.0,241593.0,6887,831,18966
2021-01-26,Germany,2164043,53619,1881933.0,228491.0,9387,492,21997
2021-01-27,Germany,2179679,54498,2043773.0,81408.0,15636,879,161840
2021-01-28,Germany,2194562,55883,1915501.0,223178.0,14883,1385,-128272
